title,work experience,salary,region
Инженер-программист Python (Воронеж),2.0,,Воронеж
Pipeline developer / Пайплайн разработчик (Python),5.0,,Москва
Разработчик ИСУ (SQL/Python),2.0,,Омск
Python back-end разработчик,5.0,,Кострома
Python Разработчик,2.0,,Москва
Python разработчик,2.0,,Хабаровск
Программист Python (техлид),5.0,,Санкт-Петербург
Программист Python,2.0,,Москва
Python Middle Backend Developer,2.0,325000.0,Москва
Разработчик RPA,2.0,,Москва
Senior Python разработчик,5.0,,Ростов-на-Дону
Разработчик,2.0,,Воронеж
Python разработчик,5.0,,Екатеринбург
Middle Python Developer - разработчик Пайтон,2.0,285000.0,Москва
Python-разработчик (команда Scrooge),5.0,,Москва
Рython developer (Django/Flask),2.0,,Таганрог
Разработчик Python,5.0,,Москва
Ведущий разработчик (Python),5.0,,Тюмень
Python-разработчик в команду управления трафиком Яндекса,5.0,500000.0,Москва
Программист Python,2.0,,Москва
Middle \ Senior Python developer,5.0,,Москва
"Программист-математик, junior (Python)",2.0,120000.0,Санкт-Петербург
Старший разработчик-python,5.0,,Москва
Python-разработчик (Django),5.0,,Казань
Backend developer,2.0,140000.0,Новосибирск
Python разработчик (дистанционно),5.0,,Санкт-Петербург
Python разработчик (Middle),5.0,,Москва
Инженер-разработчик (Python),5.0,,Москва
Разработчик SeniorPython,5.0,,Москва
Senior Python разработчик,5.0,,Ростов-на-Дону
Инженер-разработчик (Python),5.0,,Санкт-Петербург
Инженер-программист Python (Воронеж),2.0,,Воронеж
Middle Python Developer,2.0,,Москва
Python разработчик (Back-end),5.0,,Москва
Senior/Lead Python-разработчик,5.0,,Екатеринбург
Разработчик СУБД (C/Python),5.0,,Новосибирск
ETL-разработчик (уровень не ниже среднего),5.0,230000.0,Москва
Python-разработчик (команда Scrooge),5.0,,Москва
Python Developer (Crypto),5.0,8500.0,Новосибирск
Middle Python разработчик в SberDevices (инфраструктура поиска),5.0,,Москва
Бэкэнд-разработчик Golang,2.0,60000.0,Ставрополь
Python Developer (Crypto),5.0,8500.0,Москва
Программист Python,2.0,,Москва
Senior Python разработчик (PT Sandbox),5.0,,Санкт-Петербург
Python разработчик,5.0,,Екатеринбург
Python Middle Backend Developer,2.0,325000.0,Москва
Разработчик Python,5.0,,Москва
Senior Python разработчик (PT Sandbox),5.0,,Москва
Разработчик СУБД (C/Python),5.0,,Новосибирск
Программист Python,5.0,,Москва
Middle / Senior Python / Go developer,2.0,180000.0,Самара
Backend Developer (Python),2.0,250000.0,Москва
Python developer,5.0,,Москва
Web-разработчик (Python/ReactJS),2.0,,Москва
Python Developer,5.0,,Москва
Python разработчик (Back-end),5.0,,Москва
Go/Python разработчик в команду DBaaS,5.0,,Москва
Фулл-стек разработчик / Full-stack developer,5.0,,Москва
Python developer (системный программист),5.0,,Москва
Middle Python разработчик в SberDevices (инфраструктура поиска),5.0,,Москва
Python Developer (Asgard),5.0,,Москва
Программист Python Middle/Senior (МР),2.0,,Москва
Python middle+ developer,5.0,,Волгоград
Ведущий разработчик Python,5.0,,Санкт-Петербург
Fullstack developer (Python),2.0,,Старый Оскол
Python Developer,5.0,,Москва
ETL-разработчик (уровень не ниже среднего),5.0,230000.0,Москва
Python developer,5.0,280000.0,Санкт-Петербург
Разработчик Python (Senior),5.0,,Москва
Python Developer (Asgard),5.0,,Москва
Разработчик ETL,5.0,,Екатеринбург
Программист Python / Senior / Lead,5.0,,Нижний Новгород
Senior Python разработчик,5.0,,Москва
Data Science разработчик,5.0,305000.0,Санкт-Петербург
Python-разработчик,2.0,,Муром
Python Team Lead,5.0,,Москва
Программист Python,5.0,,Москва
Senior Python Developer,7.0,,Москва
Senior/Lead Python-разработчик,5.0,,Нижний Новгород
Python Developer / Data Engineer,2.0,,Санкт-Петербург
Программист Python (микроэлектроника),2.0,,Москва
Инженер-программист,0.0,100000.0,Мытищи
Senior Python Разработчик / DevOps (PT Container Security),2.0,,Москва
Senior/Lead Python-разработчик,5.0,,Санкт-Петербург
Senior Python Разработчик / DevOps (PT Container Security),2.0,,Нижний Новгород
Senior/Lead Python-разработчик,5.0,,Барнаул
Python Developer,5.0,,Москва
Backend developer (Python) Middle,5.0,,Ростов-на-Дону
Senior/Lead Python-разработчик,5.0,,Казань
Fullstack разработчик (Python),2.0,,Москва
Web-разработчик Python (Совкомбанк Технологии),2.0,,Новосибирск
Senior Python разработчик,5.0,,Москва
Программист backend Python,5.0,,Москва
Senior Python developer,5.0,,Санкт-Петербург
Team Lead/Senior Python Developer (remote),5.0,,Москва
Программист,2.0,70000.0,Омск
TeamLead / руководитель команды разработки (Python),5.0,,Москва
Junior ML разработчик,2.0,,Новосибирск
"Software Engineer (Full-stack, JS/Python)",5.0,7500.0,Санкт-Петербург
Python developer на игровой проект Sidus Heroes,2.0,3600.0,Санкт-Петербург
Python Developer,5.0,,Краснодар
Python разработчик веб-сканера (информационная безопасность),5.0,,Москва
Middle Python developer,5.0,,Москва
"Автор-лектор на курс Разработчик ""Автоматизация тестирования на Python""",2.0,,Москва
Fullstack Python Developer,5.0,,Москва
Разработчик ML(CV),2.0,,Москва
Fullstack developer (Python),2.0,,Липецк
Разработчик Python/Go (WAF),5.0,,Самара
Backend-Developer Python (senior),5.0,,Москва
Data Engineer/Разработчик DWH+ETL,2.0,,Москва
Frontend разработчик,2.0,,Екатеринбург
Разработчик,2.0,,Воронеж
QA Automation/SDET (Python) в Tarantool,5.0,,Москва
Go-разработчик (краудсорсинговая платформа TagMe),5.0,550000.0,Москва
Разработчик RPA,2.0,,Москва
Senior Python Developer,5.0,,Екатеринбург
Fullstack developer (Python),2.0,,Старый Оскол
QA-инженер в отделе разработки СУБД (Postgres Pro),2.0,,Москва
Программист Python Middle/Senior (ЛК),2.0,,Москва
"Software research engineer (Java, Python)",5.0,,Санкт-Петербург
Middle/Senior Python Developer,5.0,,Москва
C++ Developer / Программист разработчик С++ (разработка ПО в области CAE),2.0,,Москва
Разработчик С++,2.0,,Москва
Разработчик LUA,2.0,,Санкт-Петербург
Fullstack Developer (Vue + Python),5.0,,Санкт-Петербург
Инженер по автоматизированному тестированию (Back-end/Python/CCTV/решения видеонаблюдения),5.0,,Москва
Senior Python Developer,7.0,,Пенза
"Backend Разработчик Golang, PHP / Python (mid+/senior), удаленно",5.0,,Санкт-Петербург
DevOps engineer \ Девопс инженер (удалённо),5.0,295000.0,Москва
Senior Python developer,5.0,,Самара
Программист С++ Senior,5.0,750000.0,Москва
Фронтенд разработчик,5.0,,Москва
Middle / Senior Python developer,2.0,,Москва
Data engineer (Middle),2.0,,Москва
Data Engineer (ETL Developer),5.0,,Санкт-Петербург
"Ведущий программист (Linux, Python, PostgreSQL)",5.0,,Москва
Senior BackEnd Developer,5.0,4750.0,Москва
Python Developer (Backend) - разработчик Питон (Team Lead),5.0,,Новосибирск
"Golang-разработчик (middle, дистанционно)",2.0,,Москва
Full stack QA specialist (Python),2.0,,Москва
Разработчик С++ (Группа тестирования встраиваемого ПО),5.0,,Москва
Senior/Middle ML разработчик ASR (МТS AI),5.0,,Москва
Разработчик интерфейсов (Программист на QT/PyQT),5.0,250000.0,Москва
Middle/senior C++ developer,2.0,,Воронеж
Инженер-разработчик Java,2.0,,Москва
Разработчик CV / Developer CV,5.0,,Москва
Разработчик базы данных,5.0,,Москва
Senior Software Engineer,5.0,750000.0,Москва
Python разработчик,2.0,140000.0,Москва
"Full Stack Developer (Python, JS)",5.0,,Москва
Python Developer,2.0,,Москва
Разработчик на Python в команду технологий безопасности Такси,0.0,,Москва
"Младший разработчик Golang, Ozon Fresh",2.0,,Санкт-Петербург
Junior Python backend developer,2.0,80000.0,Санкт-Петербург
Python разработчик,2.0,,Санкт-Петербург
Python разработчик backend (удаленно),2.0,,Москва
Team lead Python,5.0,305000.0,Москва
Аналитик данных в индийский EdTech,5.0,,Москва
Data-аналитик (ML),5.0,,Москва
Backend ГИС разработчик,2.0,,Москва
Бэкенд разработчик,5.0,,Москва
Разработчик full-stack,5.0,210000.0,Сочи
Quantitative Researcher,0.0,,Москва
Стажер-разработчик,0.0,,Москва
Старший разработчик (Ruby),2.0,,Казань
"Разработчик SQL / Аналитик (Data Management, BigData BI)",2.0,,Санкт-Петербург
Senior QA Automation (Python),5.0,,Москва
SQL разработчик,2.0,,Москва
Software Developer Python,2.0,160000.0,Москва
Python-разработчик (PREDICT),2.0,,Москва
Python Developer (стажер),0.0,,Москва
Программист Python,2.0,,Москва
Стажер-разработчик,0.0,,Москва
Программист Python (удаленно),2.0,,Москва
Python Middle разработчик,2.0,165000.0,Ростов-на-Дону
Программист Python,2.0,,Орел
